"type","group","kanji","kana","translation","pattern"
"word","L2","","じゃあ","тогда...",""
"word","L2","","どうぞ","Пожалуйста.; Вот.",""
"word","L2","","どうも","Спасибо.",""
"word","L3","映画","えいが","кино",""
"word","L3","音楽","おんがく","музыка",""
"word","L3","雑誌","ざっし","журнал",""
"word","L3","","スポーツ","спорт",""
"word","L3","","デート","свидание",""
"word","L3","","テニス","теннис",""
"word","L3","","テレビ","телевизор",""
"word","L3","","アイスクリーム","мороженое",""
"word","L3","朝ご飯","あさごはん","завтрак",""
"word","L3","お酒","おさけ","сакэ; алкоголь",""
"word","L3","お茶","おちゃ","зелёный чай",""
"word","L3","","コーヒー","кофе",""
"word","L3","晩ご飯","ばんごはん","ужин",""
"word","L3","","ハンバーガー","гамбургер",""
"word","L3","昼ご飯","ひるごはん","обед",""
"word","L3","水","みず","вода",""
"word","L3","家","いえ","дом",""
"word","L3","家","うち","мой дом",""
"word","L3","学校","がっこう","школа",""
"word","L3","朝","あさ","утро",""
"word","L3","明日","あした","завтра",""
"word","L3","","いつ","когда",""
"word","L3","今日","きょう","сегодня",""
"word","L3","〜頃","〜ごろ","около...",""
"word","L3","今晩","こんばん","сегодня вечером",""
"word","L3","週末","しゅうまつ","выходные",""
"word","L3","土曜日","どようび","суббота",""
"word","L3","日曜日","にちようび","воскресенье",""
"word","L3","毎日","まいにち","каждый день",""
"word","L3","毎晩","まいばん","каждый вечер",""
"word","L3","行く","いく","идти",""
"word","L3","帰る","かえる","возвращаться",""
"word","L3","聞く","きく","слушать; слышать",""
"word","L3","飲む","のむ","пить",""
"word","L3","話す","はなす","говорить; разговаривать",""
"word","L3","読む","よむ","читать",""
"word","L3","起きる","おきる","вставать",""
"word","L3","食べる","たべる","есть",""
"word","L3","寝る","ねる","спать; ложиться спать",""
"word","L3","見る","みる","смотреть",""
"word","L3","来る","くる","приходить",""
"word","L3","","する","делать",""
"word","L3","勉強する","べんきょうする","учиться",""
"word","L3","","いい","хороший",""
"word","L3","早い","はやい","ранний; рано",""
"word","L3","","あまり＋negative","не очень",""
"word","L3","全然","ぜんぜん＋negative","совсем не",""
"word","L3","","たいてい","обычно",""
"word","L3","","ちょっと","немного",""
"word","L3","時々","ときどき","иногда",""
"word","L3","","よく","часто; много",""
"word","L3","","そうですね","Верно.; Дайте подумать.",""
"word","L3","","でも","но",""
"word","L3","","どうですか","Как насчёт...?",""
"word","L4","","アルバイト","подработка",""
"word","L4","買い物","かいもの","шоппинг",""
"word","L4","","クラス","класс",""
"word","L4","","あなた","ты; вы",""
"word","L4","椅子","いす","стул",""
"word","L4","犬","いぬ","собака",""
"word","L4","お土産","おみやげ","сувенир",""
"word","L4","子供","こども","ребёнок",""
"word","L4","ご飯","ごはん","рис; еда",""
"word","L4","写真","しゃしん","фотография",""
"word","L4","机","つくえ","письменный стол",""
"word","L4","手紙","てがみ","письмо",""
"word","L4","猫","ねこ","кошка",""
"word","L4","","パン","хлеб",""
"word","L4","人","ひと","человек",""
"word","L4","","メール","электронная почта",""
"word","L4","お寺","おてら","храм",""
"word","L4","公園","こうえん","парк",""
"word","L4","","スーパー","супермаркет",""
"word","L4","","デパート","универмаг",""
"word","L4","バス停","バスてい","автобусная остановка",""
"word","L4","病院","びょういん","больница",""
"word","L4","","ホテル","гостиница",""
"word","L4","本屋","ほんや","книжный магазин",""
"word","L4","町","まち","город",""
"word","L4","","レストラン","ресторан",""
"word","L4","昨日","きのう","вчера",""
"word","L4","〜時間","〜じかん","...часов",""
"word","L4","先週","せんしゅう","прошлая неделя",""
"word","L4","時","とき","когда...; во время...",""
"word","L4","月曜日","げつようび","понедельник",""
"word","L4","火曜日","かようび","вторник",""
"word","L4","水曜日","すいようび","среда",""
"word","L4","木曜日","もくようび","четверг",""
"word","L4","金曜日","きんようび","пятница",""
"word","L4","会う","あう","встречаться",""
"word","L4","","ある","быть; находиться",""
"word","L4","買う","かう","покупать",""
"word","L4","書く","かく","писать",""
"word","L4","撮る","とる","фотографировать",""
"word","L4","待つ","まつ","ждать",""
"word","L4","","わかる","понимать",""
"word","L4","","いる","быть (о живых существах)",""
"word","L4","","〜ぐらい","около; примерно",""
"word","L4","","ごめんなさい","Извините.",""
"word","L4","","だから","поэтому",""
"word","L4","","たくさん","много",""
"word","L4","","〜と","вместе с...",""
"word","L4","","どうして","почему",""
"word","L4","一人で","ひとりで","один",""
"word","L5","海","うみ","море",""
"word","L5","切手","きって","марки",""
"word","L5","切符","きっぷ","билет",""
"word","L5","","サーフィン","сёрфинг",""
"word","L5","宿題","しゅくだい","домашнее задание",""
"word","L5","食べ物","たべもの","еда",""
"word","L5","誕生日","たんじょうび","день рождения",""
"word","L5","","テスト","тест",""
"word","L5","天気","てんき","погода",""
"word","L5","飲み物","のみもの","напиток",""
"word","L5","葉書","はがき","открытка",""
"word","L5","","バス","автобус",""
"word","L5","飛行機","ひこうき","самолёт",""
"word","L5","部屋","へや","комната",""
"word","L5","僕","ぼく","я (мужской стиль)",""
"word","L5","休み","やすみ","выходной; отпуск",""
"word","L5","旅行","りょこう","путешествие",""
"word","L5","新しい","あたらしい","новый",""
"word","L5","暑い","あつい","жаркий",""
"word","L5","熱い","あつい","горячий",""
"word","L5","忙しい","いそがしい","занятый",""
"word","L5","大きい","おおきい","большой",""
"word","L5","面白い","おもしろい","интересный; смешной",""
"word","L5","","かっこいい","красивый; клёвый",""
"word","L5","怖い","こわい","страшный",""
"word","L5","寒い","さむい","холодный (погода)",""
"word","L5","楽しい","たのしい","весёлый",""
"word","L5","小さい","ちいさい","маленький",""
"word","L5","","つまらない","скучный",""
"word","L5","古い","ふるい","старый (предмет)",""
"word","L5","難しい","むずかしい","трудный",""
"word","L5","","やさしい","лёгкий; добрый",""
"word","L5","安い","やすい","дешёвый",""
"word","L5","嫌い","きらい(な)","не любить",""
"word","L5","","きれい(な)","красивый; чистый",""
"word","L5","元気","げんき(な)","здоровый; бодрый",""
"word","L5","静か","しずか(な)","тихий",""
"word","L5","好き","すき(な)","нравиться",""
"word","L5","大嫌い","だいきらい(な)","ненавидеть",""
"word","L5","大好き","だいすき(な)","очень любить",""
"word","L5","","にぎやか(な)","оживлённый",""
"word","L5","暇","ひま(な)","свободный",""
"word","L5","泳ぐ","およぐ","плавать",""
"word","L5","聞く","きく","спрашивать",""
"word","L5","乗る","のる","ездить; садиться",""
"word","L5","","やる","делать",""
"word","L5","出かける","でかける","выходить",""
"word","L5","一緒に","いっしょに","вместе",""
"word","L5","","すごく","очень; чрезвычайно",""
"word","L5","","それから","а потом",""
"word","L5","大丈夫","だいじょうぶ","Всё в порядке.",""
"word","L5","","とても","очень",""
"word","L5","","どんな","какой...",""
"word","L5","〜枚","〜まい","[счётное слово для плоских предметов]",""
"word","L5","","〜まで","до...",""
"word","L6","お金","おかね","деньги",""
"word","L6","お風呂","おふろ","ванна",""
"word","L6","漢字","かんじ","кандзи",""
"word","L6","教科書","きょうかしょ","учебник",""
"word","L6","今週","こんしゅう","на этой неделе",""
"word","L6","","CD(シーディー)","CD",""
"word","L6","市民病院","しみんびょういん","городская больница",""
"word","L6","","シャワー","душ",""
"word","L6","次","つぎ","следующий",""
"word","L6","電気","でんき","электричество",""
"word","L6","電車","でんしゃ","электричка; поезд",""
"word","L6","荷物","にもつ","багаж",""
"word","L6","","パソコン","персональный компьютер",""
"word","L6","","ページ","страница",""
"word","L6","窓","まど","окно",""
"word","L6","夜","よる","ночь",""
"word","L6","来週","らいしゅう","следующая неделя",""
"word","L6","来年","らいねん","следующий год",""
"word","L6","大変","たいへん(な)","тяжёлый",""
"word","L6","遊ぶ","あそぶ","играть; проводить время",""
"word","L6","急ぐ","いそぐ","торопиться",""
"word","L6","お風呂に入る","おふろにはいる","принимать ванну",""
"word","L6","返す","かえす","возвращать (вещь)",""
"word","L6","消す","けす","выключать; стирать",""
"word","L6","死ぬ","しぬ","умирать",""
"word","L6","座る","すわる","садиться",""
"word","L6","立つ","たつ","вставать",""
"word","L6","たばこを吸う","たばこをすう","курить",""
"word","L6","使う","つかう","использовать",""
"word","L6","手伝う","てつだう","помогать",""
"word","L6","入る","はいる","входить",""
"word","L6","持つ","もつ","носить; держать",""
"word","L6","休む","やすむ","отсутствовать; отдыхать",""
"word","L6","開ける","あける","открывать",""
"word","L6","教える","おしえる","учить; инструктировать",""
"word","L6","降りる","おりる","выходить (из транспорта)",""
"word","L6","借りる","かりる","брать взаймы",""
"word","L6","閉める","しめる","закрывать",""
"word","L6","シャワーを浴びる","シャワーをあびる","принимать душ",""
"word","L6","","つける","включать",""
"word","L6","電話をかける","でんわをかける","звонить",""
"word","L6","忘れる","わすれる","забывать",""
"word","L6","連れてくる","つれてくる","приводить (человека)",""
"word","L6","持ってくる","もってくる","приносить (вещь)",""
"word","L6","後で","あとで","позже",""
"word","L6","遅く","おそく","поздно",""
"word","L6","","〜から","потому что...",""
"word","L6","結構です","けっこうです","Хорошо.; Не нужно.",""
"word","L6","","すぐ","сразу",""
"word","L6","本当ですか","ほんとうですか","Правда?",""
"word","L6","","ゆっくり","медленно; не торопясь",""
"word","L7","姉","あね","моя старшая сестра",""
"word","L7","","アパート","квартира",""
"word","L7","歌","うた","песня",""
"word","L7","","おじいさん","дедушка; пожилой мужчина",""
"word","L7","男の人","おとこのひと","мужчина",""
"word","L7","","おばあさん","бабушка; пожилая женщина",""
"word","L7","女の人","おんなのひと","женщина",""
"word","L7","会社","かいしゃ","компания",""
"word","L7","家族","かぞく","семья",""
"word","L7","髪","かみ","волосы",""
"word","L7","兄弟","きょうだい","братья и сёстры",""
"word","L7","口","くち","рот",""
"word","L7","国","くに","страна; родина",""
"word","L7","車","くるま","машина",""
"word","L7","","ゲーム","игра",""
"word","L7","","コンビニ","круглосуточный магазин",""
"word","L7","","サークル","кружок",""
"word","L7","食堂","しょくどう","столовая",""
"word","L7","父","ちち","мой отец",""
"word","L7","","DVD(ディーブイディー)","DVD",""
"word","L7","母","はは","моя мать",""
"word","L7","目","め","глаз",""
"word","L7","眼鏡","めがね","очки",""
"word","L7","頭がいい","あたまがいい","умный",""
"word","L7","","かわいい","милый",""
"word","L7","背が高い","せがたかい","высокий",""
"word","L7","背が低い","せがひくい","низкий",""
"word","L7","長い","ながい","длинный",""
"word","L7","速い","はやい","быстрый",""
"word","L7","短い","みじかい","короткий",""
"word","L7","親切","しんせつ(な)","добрый",""
"word","L7","便利","べんり(な)","удобный",""
"word","L7","歌う","うたう","петь",""
"word","L7","","かぶる","надевать (шляпу)",""
"word","L7","知る","しる","узнать",""
"word","L7","知っています","しっています","я знаю",""
"word","L7","知りません","しりません","я не знаю",""
"word","L7","住む","すむ","жить",""
"word","L7","","はく","надевать (низ)",""
"word","L7","太る","ふとる","поправляться",""
"word","L7","","(めがねを)かける","надевать (очки)",""
"word","L7","着る","きる","надевать (верх)",""
"word","L7","勤める","つとめる","работать в...",""
"word","L7","","やせる","худеть",""
"word","L7","結婚する","けっこんする","жениться; выйти замуж",""
"word","L7","","〜が","но",""
"word","L7","何も","なにも＋negative","ничего",""
"word","L7","〜人","〜にん","[счётное слово для людей]",""
"word","L7","一人","ひとり","один человек",""
"word","L7","二人","ふたり","два человека",""
"word","L7","別に","べつに＋negative","ничего особенного",""
"word","L7","","もしもし","Алло?",""
"word","L7","","もちろん","конечно",""
"word","L7","","よかったら","если хотите",""
"word","L8","明後日","あさって","послезавтра",""
"word","L8","雨","あめ","дождь",""
"word","L8","","カメラ","фотоаппарат",""
"word","L8","","カラオケ","караоке",""
"word","L8","空気","くうき","воздух",""
"word","L8","今朝","けさ","сегодня утром",""
"word","L8","黒板","こくばん","доска",""
"word","L8","今月","こんがつ","в этом месяце",""
"word","L8","仕事","しごと","работа",""
"word","L8","大学生","だいがくせい","студент",""
"word","L8","天気予報","てんきよほう","прогноз погоды",""
"word","L8","所","ところ","место",""
"word","L8","","トマト","помидор",""
"word","L8","夏","なつ","лето",""
"word","L8","何か","なにか","что-нибудь",""
"word","L8","","パーティー","вечеринка",""
"word","L8","","バーベキュー","барбекю",""
"word","L8","","はし","палочки для еды",""
"word","L8","冬","ふゆ","зима",""
"word","L8","","ホームステイ","проживание в семье",""
"word","L8","毎週","まいしゅう","каждую неделю",""
"word","L8","来月","らいがつ","следующий месяц",""
"word","L8","上手","じょうず(な)","умелый; хорошо уметь",""
"word","L8","下手","へた(な)","неловкий; плохо уметь",""
"word","L8","有名","ゆうめい(な)","известный",""
"word","L8","雨が降る","あめがふる","идёт дождь",""
"word","L8","洗う","あらう","мыть",""
"word","L8","言う","いう","говорить; сказать",""
"word","L8","","いる","нужно",""
"word","L8","遅くなる","おそくなる","опаздывать",""
"word","L8","思う","おもう","думать",""
"word","L8","切る","きる","резать",""
"word","L8","作る","つくる","делать; готовить",""
"word","L8","持っていく","もっていく","брать с собой",""
"word","L8","じろじろ見る","じろじろみる","пялиться",""
"word","L8","捨てる","すてる","выбрасывать",""
"word","L8","始める","はじめる","начинать",""
"word","L8","運転する","うんてんする","водить машину",""
"word","L8","洗濯する","せんたくする","стирать",""
"word","L8","掃除する","そうじする","убирать",""
"word","L8","電話する","でんわする","звонить",""
"word","L8","料理する","りょうりする","готовить",""
"word","L8","","いつも","всегда",""
"word","L8","","ううん","нет (разг.)",""
"word","L8","","うん","да (разг.)",""
"word","L8","乾杯","かんぱい","Ура! За...!",""
"word","L8","残念(ですね)","ざんねん(ですね)","Жаль.",""
"word","L8","","〜について","о...; касательно...",""
"word","L8","","まだ＋negative","ещё не",""
"word","L8","","みんなで","все вместе",""
"word","L9","いい子","いいこ","хороший ребёнок",""
"word","L9","色","いろ","цвет",""
"word","L9","お弁当","おべんとう","ланч-бокс",""
"word","L9","歌舞伎","かぶき","кабуки",""
"word","L9","","ギター","гитара",""
"word","L9","去年","きょねん","в прошлом году",""
"word","L9","薬","くすり","лекарство",""
"word","L9","薬を飲む","くすりをのむ","принимать лекарство",""
"word","L9","","コンサート","концерт",""
"word","L9","今度","こんど","в следующий раз",""
"word","L9","作文","さくぶん","сочинение",""
"word","L9","試験","しけん","экзамен",""
"word","L9","","スキー","лыжи",""
"word","L9","先月","せんがつ","в прошлом месяце",""
"word","L9","単語","たんご","слово; словарный запас",""
"word","L9","","ピアノ","пианино",""
"word","L9","","ピザ","пицца",""
"word","L9","病気","びょうき","болезнь",""
"word","L9","青い","あおい","синий",""
"word","L9","赤い","あかい","красный",""
"word","L9","黒い","くろい","чёрный",""
"word","L9","寂しい","さびしい","одинокий",""
"word","L9","白い","しろい","белый",""
"word","L9","若い","わかい","молодой",""
"word","L9","意地悪","いじわる(な)","злобный",""
"word","L9","踊る","おどる","танцевать",""
"word","L9","終わる","おわる","заканчиваться",""
"word","L9","人気がある","にんきがある","быть популярным",""
"word","L9","始まる","はじまる","начинаться",""
"word","L9","弾く","ひく","играть на (инструменте)",""
"word","L9","","もらう","получать",""
"word","L9","覚える","おぼえる","запоминать",""
"word","L9","出る","でる","выходить; появляться",""
"word","L9","運動する","うんどうする","заниматься спортом",""
"word","L9","散歩する","さんぽする","гулять",""
"word","L9","","〜から","от...",""
"word","L9","是非","ぜひ","обязательно",""
"word","L9","","ところで","кстати",""
"word","L9","","みんな","все",""
"word","L9","","もう","уже",""
"word","L9","一つ","ひとつ","один",""
"word","L9","二つ","ふたつ","два",""
"word","L9","三つ","みっつ","три",""
"word","L9","四つ","よっつ","четыре",""
"word","L9","五つ","いつつ","пять",""
"word","L9","六つ","むっつ","шесть",""
"word","L9","七つ","ななつ","семь",""
"word","L9","八つ","やっつ","восемь",""
"word","L9","九つ","ここのつ","девять",""
"word","L9","十","とお","десять",""
"word","L10","秋","あき","осень",""
"word","L10","駅","えき","станция",""
"word","L10","お金持ち","おかねもち","богатый человек",""
"word","L10","顔","かお","лицо",""
"word","L10","季節","きせつ","сезон",""
"word","L10","牛乳","ぎゅうにゅう","молоко",""
"word","L10","","クレジットカード","кредитная карточка",""
"word","L10","","ケーキ","торт",""
"word","L10","今年","ことし","в этом году",""
"word","L10","","サッカー","футбол",""
"word","L10","","シャツ","рубашка",""
"word","L10","新幹線","しんかんせん","Синкансэн",""
"word","L10","寿司","すし","суши",""
"word","L10","生活","せいかつ","жизнь",""
"word","L10","世界","せかい","мир",""
"word","L10","地下鉄","ちかてつ","метро",""
"word","L10","手袋","てぶくろ","перчатки",""
"word","L10","天ぷら","てんぷら","темпура",""
"word","L10","床屋","とこや","парикмахерская",""
"word","L10","春","はる","весна",""
"word","L10","","パンツ","брюки",""
"word","L10","美容院","びよういん","салон красоты",""
"word","L10","便","びん","рейс",""
"word","L10","船","ふね","корабль",""
"word","L10","野球","やきゅう","бейсбол",""
"word","L10","有名人","ゆうめいじん","знаменитость",""
"word","L10","予約","よやく","бронирование",""
"word","L10","来学期","らいがっき","следующий семестр",""
"word","L10","","りんご","яблоко",""
"word","L10","暖かい","あたたかい","тёплый",""
"word","L10","遅い","おそい","медленный; поздний",""
"word","L10","涼しい","すずしい","прохладный",""
"word","L10","冷たい","つめたい","холодный",""
"word","L10","眠い","ねむい","сонный",""
"word","L10","簡単","かんたん(な)","лёгкий; простой",""
"word","L10","","かかる","занимать (время/деньги)",""
"word","L10","泊まる","とまる","останавливаться",""
"word","L10","","なる","становиться",""
"word","L10","払う","はらう","платить",""
"word","L10","決める","きめる","решать",""
"word","L10","旅行する","りょこうする","путешествовать",""
"word","L10","練習する","れんしゅうする","тренироваться",""
"word","L10","歩いて","あるいて","пешком",""
"word","L10","一番","いちばん","лучший",""
"word","L10","","〜か〜","или",""
"word","L10","〜か月","〜かげつ","...месяцев",""
"word","L10","〜後","〜ご","через...",""
"word","L10","","このごろ","в последнее время",""
"word","L10","〜週間","〜しゅうかん","...недель",""
"word","L10","","〜で","на (транспорте)",""
"word","L10","","どうやって","как; каким образом",""
"word","L10","","どちら","который (из двух)",""
"word","L10","","どっち","который (разг.)",""
"word","L10","","どのぐらい","как долго; сколько",""
"word","L10","〜年","〜ねん","...лет",""
"word","L10","早く／速く","はやく","рано; быстро",""
"word","L11","お菓子","おかし","закуска; сладости",""
"word","L11","お正月","おしょうがつ","Новый год",""
"word","L11","男の子","おとこのこ","мальчик",""
"word","L11","お祭り","おまつり","праздник",""
"word","L11","","おもちゃ","игрушка",""
"word","L11","温泉","おんせん","термальный источник",""
"word","L11","女の子","おんなのこ","девочка",""
"word","L11","外国","がいこく","иностранное государство",""
"word","L11","歌手","かしゅ","певец",""
"word","L11","川","かわ","река",""
"word","L11","","キャンプ","лагерь",""
"word","L11","","こちら","этот человек (вежл.)",""
"word","L11","今学期","こんがっき","в этом семестре",""
"word","L11","社長","しゃちょう","президент компании",""
"word","L11","授業","じゅぎょう","урок; лекция",""
"word","L11","将来","しょうらい","будущее",""
"word","L11","神社","じんじゃ","синтоистское святилище",""
"word","L11","","つり","рыбалка",""
"word","L11","","ドライブ","поездка на машине",""
"word","L11","","ビール","пиво",""
"word","L11","美術館","びじゅつかん","художественный музей",""
"word","L11","","ホストファミリー","принимающая семья",""
"word","L11","湖","みずうみ","озеро",""
"word","L11","山","やま","гора",""
"word","L11","夢","ゆめ","мечта",""
"word","L11","","ルームメート","сосед по комнате",""
"word","L11","","うそをつく","лгать",""
"word","L11","","おなかがすく","проголодаться",""
"word","L11","飼う","かう","держать питомца",""
"word","L11","","サボる","прогуливать",""
"word","L11","取る","とる","посещать; получить",""
"word","L11","習う","ならう","учиться",""
"word","L11","登る","のぼる","подниматься",""
"word","L11","働く","はたらく","работать",""
"word","L11","疲れる","つかれる","устать",""
"word","L11","","やめる","бросать; уходить",""
"word","L11","","けんかする","ссориться",""
"word","L11","紹介する","しょうかいする","представлять",""
"word","L11","","ダイエットする","сидеть на диете",""
"word","L11","遅刻する","ちこくする","опаздывать",""
"word","L11","留学する","りゅうがくする","учиться за рубежом",""
"word","L11","後","あと","после",""
"word","L11","出身","しゅっしん","родом из",""
"word","L11","","そして","и затем",""
"word","L11","","〜だけ","только...",""
"word","L11","〜点","〜てん","...очков",""
"word","L11","久しぶり","ひさしぶり","давно не виделись",""
"word","L11","","まあまあ","так себе",""
"word","L11","","もっと","ещё",""
"word","L12","足","あし","нога",""
"word","L12","意味","いみ","значение",""
"word","L12","お手洗い","おてあらい","туалет",""
"word","L12","","おなか","живот",""
"word","L12","風邪","かぜ","простуда",""
"word","L12","彼女","かのじょ","девушка",""
"word","L12","彼","かれ","парень",""
"word","L12","気温","きおん","температура воздуха",""
"word","L12","曇り","くもり","облачно",""
"word","L12","試合","しあい","матч",""
"word","L12","","ジュース","сок",""
"word","L12","成績","せいせき","оценка",""
"word","L12","","せき","кашель",""
"word","L12","","のど","горло",""
"word","L12","歯","は","зуб",""
"word","L12","花","はな","цветок",""
"word","L12","晴れ","はれ","солнечно",""
"word","L12","服","ふく","одежда",""
"word","L12","二日酔い","ふつかよい","похмелье",""
"word","L12","","プレゼント","подарок",""
"word","L12","","ホームシック","тоска по дому",""
"word","L12","","マイナス","минус",""
"word","L12","物","もの","вещь",""
"word","L12","雪","ゆき","снег",""
"word","L12","用事","ようじ","дела",""
"word","L12","甘い","あまい","сладкий",""
"word","L12","痛い","いたい","больной",""
"word","L12","多い","おおい","много...",""
"word","L12","狭い","せまい","тесный",""
"word","L12","都合が悪い","つごうがわるい","неудобный; занят",""
"word","L12","悪い","わるい","плохой",""
"word","L12","素敵","すてき(な)","замечательный",""
"word","L12","歩く","あるく","ходить пешком",""
"word","L12","風邪をひく","かぜをひく","простудиться",""
"word","L12","興味がある","きょうみがある","интересоваться",""
"word","L12","","なくす","потерять",""
"word","L12","熱がある","ねつがある","быть в температуре",""
"word","L12","のどが渇く","のどがかわく","хотеть пить",""
"word","L12","せきが出る","せきがでる","кашлять",""
"word","L12","別れる","わかれる","расставаться",""
"word","L12","緊張する","きんちょうする","нервничать",""
"word","L12","心配する","しんぱいする","беспокоиться",""
"word","L12","お大事に","おだいじに","Поправляйтесь.",""
"word","L12","元気がない","げんきがない","выглядит нехорошо",""
"word","L12","多分","たぶん","наверное",""
"word","L12","","できるだけ","по возможности",""
"word","L12","","〜でしょう","наверно; ведь правда?",""
"word","L12","〜度","〜ど","...градусов",""
"word","L12","二三日","にさんにち","два-три дня",""
"word","L12","","〜ので","потому что...",""
"word","L12","初めて","はじめて","впервые",""
"word","L12","","もうすぐ","скоро; совсем скоро",""
"kanji","L1","日","","",""
"kanji","L1","学","","",""
"kanji","L1","人","","",""
"kanji","L1","大","","",""
"kanji","L1","生","","",""
"kanji","L1","今","","",""
"kanji","L1","話","","",""
"kanji","L1","電","","",""
"kanji","L1","後","","",""
"kanji","L1","国","","",""
"kanji","L1","会","","",""
"kanji","L1","時","","",""
"kanji","L1","本","","",""
"kanji","L1","文","","",""
"kanji","L1","事","","",""
"kanji","L1","社","","",""
"kanji","L1","番","","",""
"kanji","L1","語","","",""
"kanji","L1","先","","",""
"kanji","L1","年","","",""
"kanji","L1","留","","",""
"kanji","L1","中","","",""
"kanji","L1","院","","",""
"kanji","L1","高","","",""
"kanji","L1","校","","",""
"kanji","L1","名","","",""
"kanji","L1","何","","",""
"kanji","L1","者","","",""
"kanji","L1","兄","","",""
"kanji","L1","前","","",""
"kanji","L1","類","","",""
"kanji","L1","政","","",""
"kanji","L1","員","","",""
"kanji","L1","弁","","",""
"kanji","L1","姉","","",""
"kanji","L1","弟","","",""
"kanji","L1","英","","",""
"kanji","L1","午","","",""
"kanji","L1","号","","",""
"kanji","L1","私","","",""
